id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
787677383685842128,Oasis in Prosperidad modern with terrace,5976605,Sole,Chamartín,Prosperidad,40.4432005,-3.6712084,Entire home/apt,,7,0,,,1,0,0,
787684067952805094,Precioso piso en Vallecas-Atocha,79538601,Lorenzo,Puente de Vallecas,Palomeras Bajas,40.38915,-3.65565,Entire home/apt,83,2,201,2025-08-27,6.67,6,286,78,ESFCTU00002809700065858000000012397701173330560527958
788058739069149826,"Blueground | Huertas-Cortes, in Las Letras",434208714,Blueground,Centro,Cortes,40.41157190000001,-3.694336999999999,Entire home/apt,207,30,6,2024-09-07,0.21,249,268,0,ESFCNT00002808900034669700000000000000000000000000001
788061048361277959,"Blueground | Salamanca, terrace",434208714,Blueground,Salamanca,Guindalera,40.4320069,-3.6682836,Entire home/apt,269,30,6,2024-09-15,0.27,249,233,1,
788089195372997353,Apartamento 1 dormitorio Palacio Real - Líbere,374138888,Mikel,Centro,Sol,40.4185814,-3.7073436,Entire home/apt,288,1,6,2025-05-30,0.18,8,254,3,
788181377205718500,Increíble Loft en Madrid,9548677,Melisa,Ciudad Lineal,Ventas,40.4266,-3.65311,Entire home/apt,82,2,151,2025-08-27,4.97,4,200,49,
788881231417429524,Waou La Latina IV - Alquiler Corta Duración,28786243,Emilio,Centro,Embajadores,40.408,-3.70466,Entire home/apt,318,1,44,2025-07-24,1.37,73,307,9,ESFCNT00002803700027313000000000000000000000000000005
788956119737429109,Delightful and Central 2,142578,Daniel,Centro,Cortes,40.41523,-3.69741,Private room,,3,149,2025-08-28,4.58,25,0,40,
789042306505926697,Double central room. Matadero.,33764591,Julia,Arganzuela,Chopera,40.3957,-3.69701,Private room,66,2,32,2025-07-06,0.97,4,11,7,ESHFNT00002803700064486200300000000000000000000000005
789103062080405292,Gorgeous Room3 Malasaña/Chamberi,142578,Daniel,Chamberí,Trafalgar,40.43319,-3.70313,Private room,,90,111,2025-09-01,3.38,25,7,24,
789619194512148238,Estudio corazon madrid zerolo,260360017,Beatriz,Centro,Justicia,40.42189655557302,-3.6991890261413336,Entire home/apt,147,2,2,2023-10-08,0.08,6,266,0,
789758682224664296,"""Estás mejor en mi casa que en ningún sitio""",386076449,Dulce Reichel,Puente de Vallecas,Palomeras Sureste,40.3852608,-3.6402883,Private room,30,4,60,2025-09-09,1.82,1,89,32,
